Sl_No,Restaurant Name,Swiggy RID,Credit Limit,Number of Outlets in City,Detected_Cuisines,Imported Avocado,Blueberry,Cherry Tomato,Parsley,Thai Asparagus,Indian Asparagus,Lemon Grass,Thai Basil,Italian Lemon,Thai Bird Chilli,Shiso Leaves,Rosemary,Total_SKU_Score
4345,Anugraha Milatri Hotel,358151,14437,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3119,Vinaya Royal Inn (Bamboo shades),20725,19362,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4941,Rashi Grand Gardens Family Restaurant,991799,10000,2,"Fine_Dining, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
276,The Krishna Grand,31195,"4,43,051",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1369,Malabar Hotel,627009,97318,3,"Fine_Dining, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1382,Tawakkal mubarak hotel,391071,94536,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3801,Madappa Hindu Miltry Hotel,174168,10000,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1390,Shrinidhi Military Hotel,375141,93226,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4320,Kabab Palace,111229,14858,2,"North_Indian, Hotel_Star, Arabian",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4318,Sri Udupi Grand Veg,317997,14880,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4946,Westin Food and Resturant,1121040,10000,2,"Hotel_Star, Food_Generic",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3383,Donne Biriyani Grand,358824,15042,2,"North_Indian, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2510,Hotel Godavari,1069128,25000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3811,Budapest Bake Inn,219790,10000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3137,Nanda's Grand,30038,18990,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1429,New Naidu Hotel,901395,88131,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1431,Srisailam Grand,827977,87949,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3823,Hotel Kedaras kitchen,959313,10000,1,"Fine_Dining, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1435,Kolkata Pice Hotel,1098542,87633,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1436,Bidadi Thatte Idli Hotel,627056,87565,2,"South_Indian, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4958,Hotel Navya foods,107436,10000,2,"Hotel_Star, Food_Generic",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4298,RAJANNA MILITARY HOTEL,948169,15187,3,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
243,SLV Reddy Military Hotel,366453,"4,81,253",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1439,Sri Krishna Grand,950982,87416,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3786,New Govind Rao Military Hotel,39936,10000,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4355,Udupi Grand Veg,63062,14252,3,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1340,Hotel Salam,365010,"1,01,622",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3114,Hotel Rk Gardenia,445782,19429,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
339,Hotel Aditya (Mahalakshmipuram),495520,"33,72,603",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4435,Hotel Prashanth,798340,12681,3,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4432,Vinu Coorgu Pork Hotel,566986,12728,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4429,Hotel Manu,456226,12749,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
410,Reddy's Military hotel,764501,"3,54,700",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1222,Hyderabadi Biryani Hotel,478813,"1,16,742",2,"North_Indian, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3738,Hotel Sarathi,948553,10000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
324,Swathi hospitality services pvt Ltd,74628,"38,27,718",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2474,Ss Andhra Hotel,624049,25000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4919,New Govind Rao Military Hotel,39936,10000,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3752,Skyhigh by Clarks Inn,531988,10000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4403,Soul Indian Specialty - Svenska Design Hotel,539252,13256,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
